Kunde,Produktnummer,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Gesamt
1,55,238,0,0,58,94,0,0,110,0,0,110,47,656
1,56,76,0,0,115,188,0,0,220,0,0,220,94,914
1,57,117,104,43,12,83,0,0,0,0,0,0,0,359
1,58,0,0,0,0,0,0,0,0,0,0,0,0,0
1,59,14,1472,1749,1486,0,0,0,0,0,0,0,0,4720
1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1,61,1641,745,3005,3111,2052,2069,0,0,0,0,0,0,12623
1,62,1523,2548,4936,1876,2528,3837,5742,5822,10418,0,6165,2990,48386
1,63,0,0,0,0,0,0,0,0,0,0,0,0,0
1,64,0,0,0,0,0,0,0,0,0,0,0,0,0
1,65,0,0,0,0,0,0,0,0,0,0,0,0,0
1,66,17153,23350,22497,19161,18652,19032,17538,19651,19562,26389,20310,16297,239591
1,67,0,0,0,0,0,0,0,0,0,0,0,0,0
1,68,0,0,0,0,0,0,0,0,0,0,0,0,0

